order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
1612885,2019-01-01,16293,Malang,Jawa Timur,P1301,BRAND_F,6,747000,4482000
1612387,2019-01-01,17228,Bogor,Jawa Barat,P2086,BRAND_L,4,590000,2360000
1612903,2019-01-01,16775,Surakarta,Jawa Tengah,P1656,BRAND_G,3,1325000,3975000
1612963,2019-01-01,0,unknown,unknown,P3127,BRAND_S,1,1045000,1045000
1612999,2019-01-01,0,unknown,unknown,P0315,BRAND_B,1,1188000,1188000
1612966,2019-01-01,15081,Tangerang,Banten,P4033,BRAND_W,6,904000,5424000
1612915,2019-01-01,0,unknown,unknown,P0167,BRAND_A,1,2679000,2679000
1612999,2019-01-01,0,unknown,unknown,P0446,BRAND_B,1,1783000,1783000
1612702,2019-01-01,18119,Yogyakarta,Yogyakarta,P3813,BRAND_U,1,450000,450000
1612999,2019-01-01,0,unknown,unknown,P0752,BRAND_C,1,11912000,11912000
1612915,2019-01-01,0,unknown,unknown,P3195,BRAND_S,2,593000,1186000
1612921,2019-01-01,0,unknown,unknown,P0315,BRAND_B,18,1188000,21384000
1612915,2019-01-01,0,unknown,unknown,P3884,BRAND_V,1,1783000,1783000
1612951,2019-01-01,16125,Jakarta Barat,DKI Jakarta,P1902,BRAND_J,10,695000,6950000
1612870,2019-01-01,15858,Bandung,Jawa Barat,P0797,BRAND_C,1,747000,747000
1612915,2019-01-01,0,unknown,unknown,P3028,BRAND_R,1,1188000,1188000
1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P3075,BRAND_R,1,2795000,2795000
1612915,2019-01-01,0,unknown,unknown,P2864,BRAND_R,1,2081000,2081000
1612603,2019-01-01,0,unknown,unknown,P0935,BRAND_C,1,12000,12000
1612936,2019-01-01,0,unknown,unknown,P3829,BRAND_V,3,5658000,16974000
1612852,2019-01-01,16086,Jakarta Selatan,DKI Jakarta,P3909,BRAND_V,2,2987000,5974000
1612999,2019-01-01,0,unknown,unknown,P1742,BRAND_H,10,1188000,11880000
1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1684,BRAND_H,24,747000,17928000
1612870,2019-01-01,15858,Bandung,Jawa Barat,P0810,BRAND_C,3,2987000,8961000
1612999,2019-01-01,0,unknown,unknown,P2669,BRAND_P,4,1486000,5944000
1612915,2019-01-01,0,unknown,unknown,P1245,BRAND_E,1,1486000,1486000
1612999,2019-01-01,0,unknown,unknown,P2104,BRAND_L,4,1486000,5944000
1612915,2019-01-01,0,unknown,unknown,P3627,BRAND_S,1,2081000,2081000
1612921,2019-01-01,0,unknown,unknown,P0418,BRAND_B,9,891000,8019000
1612390,2019-01-01,12681,Makassar,Sulawesi Selatan,P2926,BRAND_R,16,310000,4960000
1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P1248,BRAND_E,2,1640000,3280000
1612915,2019-01-01,0,unknown,unknown,P0418,BRAND_B,1,310000,310000
1612915,2019-01-01,0,unknown,unknown,P0991,BRAND_D,1,901000,901000
1612915,2019-01-01,0,unknown,unknown,P0687,BRAND_C,1,2679000,2679000
1612945,2019-01-01,12839,Jakarta Selatan,DKI Jakarta,P1906,BRAND_J,10,695000,6950000
1612870,2019-01-01,15858,Bandung,Jawa Barat,P0010,BRAND_S,2,1045000,2090000
1612999,2019-01-01,0,unknown,unknown,P2396,BRAND_P,1,1486000,1486000
1612915,2019-01-01,0,unknown,unknown,P0445,BRAND_B,3,1486000,4458000
1612915,2019-01-01,0,unknown,unknown,P4069,BRAND_W,1,891000,891000
1612999,2019-01-01,0,unknown,unknown,P2894,BRAND_R,2,593000,1186000
1612603,2019-01-01,0,unknown,unknown,P3753,BRAND_T,1,12000,12000
1612915,2019-01-01,0,unknown,unknown,P1866,BRAND_J,1,593000,593000
1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P1770,BRAND_H,1,240000,240000
1612924,2019-01-01,0,unknown,unknown,P3844,BRAND_V,1,891000,891000
1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P1387,BRAND_F,1,1745000,1745000
1612915,2019-01-01,0,unknown,unknown,P3697,BRAND_T,1,1783000,1783000
1612936,2019-01-01,0,unknown,unknown,P1569,BRAND_G,1,2679000,2679000
1612810,2019-01-01,14673,Jakarta Utara,DKI Jakarta,P2551,BRAND_P,24,590000,14160000
1612999,2019-01-01,0,unknown,unknown,P3254,BRAND_S,2,891000,1782000
1612930,2019-01-01,0,unknown,unknown,P2729,BRAND_P,1,2679000,2679000
1612927,2019-01-01,0,unknown,unknown,P2955,BRAND_R,2,2977000,5954000
1612999,2019-01-01,0,unknown,unknown,P0904,BRAND_C,1,2977000,2977000
1612999,2019-01-01,0,unknown,unknown,P0575,BRAND_B,7,310000,2170000
1612999,2019-01-01,0,unknown,unknown,P2303,BRAND_N,1,1188000,1188000
1612867,2019-01-01,13173,Jakarta Pusat,DKI Jakarta,P3132,BRAND_S,1,1745000,1745000
1612393,2019-01-01,14907,Jakarta Selatan,DKI Jakarta,P1307,BRAND_F,4,1325000,5300000
1612843,2019-01-01,16904,Bandung,Jawa Barat,P3481,BRAND_S,1,1745000,1745000
1612939,2019-01-01,17591,Surakarta,Jawa Tengah,P2968,BRAND_R,4,4475000,17900000
1612930,2019-01-01,0,unknown,unknown,P2927,BRAND_R,1,891000,891000
1612999,2019-01-01,0,unknown,unknown,P0845,BRAND_C,1,1486000,1486000
1612915,2019-01-01,0,unknown,unknown,P1116,BRAND_D,1,5063000,5063000
1612927,2019-01-01,0,unknown,unknown,P2963,BRAND_R,2,2977000,5954000
1612921,2019-01-01,0,unknown,unknown,P1906,BRAND_J,8,1783000,14264000
1612960,2019-01-01,17897,Surakarta,Jawa Tengah,P1830,BRAND_I,1,2987000,2987000
1612999,2019-01-01,0,unknown,unknown,P3631,BRAND_S,2,593000,1186000
1612936,2019-01-01,0,unknown,unknown,P3331,BRAND_S,1,891000,891000
1612882,2019-01-01,14739,Jakarta Utara,DKI Jakarta,P1935,BRAND_K,48,747000,35856000
1612927,2019-01-01,0,unknown,unknown,P1945,BRAND_K,13,2977000,38701000
1612915,2019-01-01,0,unknown,unknown,P0826,BRAND_C,22,163000,3586000
1612813,2019-01-01,13488,Surabaya,Jawa Timur,P0707,BRAND_C,6,3494000,20964000
1612819,2019-01-01,15002,Bogor,Jawa Barat,P1563,BRAND_G,36,310000,11160000
1612813,2019-01-01,13488,Surabaya,Jawa Timur,P1242,BRAND_E,4,1500000,6000000
1612927,2019-01-01,0,unknown,unknown,P1305,BRAND_F,1,2679000,2679000
1612843,2019-01-01,16904,Bandung,Jawa Barat,P1904,BRAND_J,1,695000,695000
1612873,2019-01-01,12748,Jakarta Utara,DKI Jakarta,P0563,BRAND_B,1,2095000,2095000
1612915,2019-01-01,0,unknown,unknown,P4065,BRAND_W,2,593000,1186000
1612999,2019-01-01,0,unknown,unknown,P2748,BRAND_P,1,1486000,1486000
1612468,2019-01-01,17017,Jakarta Selatan,DKI Jakarta,P1867,BRAND_J,24,520000,12480000
1612915,2019-01-01,0,unknown,unknown,P1482,BRAND_G,1,1188000,1188000
1612915,2019-01-01,0,unknown,unknown,P0709,BRAND_C,1,1188000,1188000
